id,name,price,sale_price,style,sales,type,color,date,url
1_000567943_HO12-28148,女裝Logo棉質縮口鬆緊休閒褲,1499.0,749.0,000567943,36,不顯示,黑色,2020-05-11 11:02:51,https://awsresources.baozun.com/aws/96001088/20200323/0283A1DF4EF6A605B828506D2CEACECC.jpg
1_000542608_HO12-28148,女裝簡約純色鬆緊羅紋縮口休閒褲,2299.0,1149.0,000542608,9,不顯示,正黑色,2020-04-09 10:15:58,https://awsresources.baozun.com/aws/96001088/20200416/B4E5C6080510388B2EA76ECBB95B57F0.jpg
1_000542608_M214-34169,女裝簡約純色鬆緊羅紋縮口休閒褲,2299.0,1609.0,000542608,6,不顯示,軍綠色,2020-04-09 10:15:58,https://awsresources.baozun.com/aws/96001088/20200211/15323F90C2473B18D3D39F43428B06D1.jpg
495924TRUE BLACK,女裝簡約純色修身毛邊褲腳長褲,2699.0,1889.0,000495924,3,不顯示,正黑色,2020-02-21 17:28:00,https://awsresources.baozun.com/aws/96001088/20190831/7B48ABDA76384F54FBBE0FC1031E22F1.jpg
1_000442191_FA11-07290,女裝棉質舒適寬版休閒褲,1999.0,1399.0,000442191,3,不顯示,純正黑色,2020-05-18 10:37:28,https://awsresources.baozun.com/aws/96001088/20200323/722AEAEE3835DB54E2389CA3A21BCD47.jpg
1_000567942_HO10-11260,女裝Logo棉質鬆緊針織褲,1499.0,1049.0,000567942,4,不顯示,蔚藍色,2020-03-17 16:02:11,https://awsresources.baozun.com/aws/96001088/20200323/167C0482B64C90145ECB0D101604CD47.jpg
1_000442191_SB13-32284,女裝棉質舒適闊腿型休閒褲,1999.0,999.0,000442191,3,不顯示,象牙白,2020-02-21 17:28:01,https://awsresources.baozun.com/aws/96001088/20200323/B25F67E5C3409E76AA9A0F1AA3B5C369.jpg
1_000567942_SB13-32325,女裝Logo棉質鬆緊針織褲,1499.0,1049.0,000567942,1,不顯示,紅色,2020-03-17 16:02:11,https://awsresources.baozun.com/aws/96001088/20200323/D2C00529BC1B6EA2C0C236F5752BD90D.jpg
357378NAVY HEATHER,女裝磨毛雙羅紋直筒九分褲,1699.0,1189.0,000357378,1,不顯示,混合海軍藍,2020-05-29 11:14:13,https://awsresources.baozun.com/aws/96001088/20190816/931A770FC937A1FA39D2B13D4BAB2329.jpg
1_000231887_HO09-13861,女裝舒適純色V領短袖T恤,799.0,559.0,000231887,57,不顯示,光感白,2020-02-21 17:28:10,https://awsresources.baozun.com/aws/96001088/20200102/E0E6BF50E266EF1AAF28B7EA8595E72B.jpg
